Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,203.949997,204.649994,202.649994,203.199997,183.116058,23759135
2018-01-03,203.199997,204.300003,202.600006,203.699997,183.566635,26003107
2018-01-04,203.750000,205.949997,203.050003,204.500000,184.287552,41817624
2018-01-05,204.350006,205.100006,199.059998,199.179993,179.493378,58768373
2018-01-08,199.000000,203.300003,198.759995,200.100006,180.322479,55607013
2018-01-09,200.350006,202.500000,198.759995,201.800003,181.854431,38643646
2018-01-10,197.000000,203.050003,197.000000,201.199997,181.313721,85664577
2018-01-11,200.000000,200.800003,194.479996,196.100006,176.717834,124866096
2018-01-12,197.179993,198.559998,193.639999,194.500000,175.275955,62954316
2018-01-15,200.000000,200.000000,194.800003,195.539993,176.213150,38161003
2018-01-16,195.500000,200.250000,194.559998,199.399994,179.691650,75894038
2018-01-17,198.820007,201.449997,197.440002,198.520004,178.898605,53204596
2018-01-18,199.679993,200.050003,197.899994,199.300003,179.601532,36794397
2018-01-19,200.000000,202.100006,198.300003,200.500000,180.682922,47896486
2018-01-22,201.750000,209.199997,201.449997,209.199997,188.523026,92915773
2018-01-23,209.850006,210.399994,207.500000,209.199997,188.523026,54340331
2018-01-24,209.000000,210.899994,208.500000,208.500000,187.892212,36895346
2018-01-25,208.100006,210.500000,207.550003,210.300003,189.514297,42719168
2018-01-26,210.000000,211.949997,209.649994,210.000000,189.243958,68123589
2018-01-29,209.899994,210.300003,207.500000,207.649994,187.126221,41036237
2018-01-30,206.149994,207.000000,200.100006,201.750000,181.809372,54603987
2018-01-31,203.300003,204.199997,199.139999,199.940002,180.178268,53613477
2018-02-01,201.850006,203.050003,197.100006,197.339996,177.835251,46811134
2018-02-02,197.820007,198.320007,195.320007,195.559998,176.231171,38872443
2018-02-05,193.800003,196.339996,192.899994,193.919998,174.753281,45753135
2018-02-06,188.619995,192.160004,187.139999,189.059998,170.373627,82124653
2018-02-07,191.100006,194.039993,190.119995,193.199997,174.104431,93588729
2018-02-08,192.539993,197.899994,191.339996,194.100006,174.915497,64720143
2018-02-09,192.899994,194.860001,191.619995,192.899994,173.834091,144212087
